V20.3.3.0 Trace: mesure_all
C:\Users\HP\Documents\CoursMines\mecatro\TI_MECATRO_Tricodrisse\minimal_working_example\M241_ILE_2_moteurs_new.project
Timestamp(ms) actualVelocity_1 actualVelocity_2 v_target_mobile asserv.v_mobile asserv.alpha targetVelocity_1 targetVelocity_2 x init_x target_x h_triangle 
134244 2 0 0.0036156214773654938 -0.00055751932086423039 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134264 -5 -1 0.0036156214773654938 0.0011150386417284608 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134284 -4 -7 0.0036156214773654938 -0.0027875965461134911 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134304 1 -3 0.0036156214773654938 -0.0022300772834569216 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134324 -1 -4 0.0036156214773654938 0.00055751932086423039 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134344 0 -4 0.0036156214773654938 -0.00055751932086423039 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134364 -1 -5 0.0036156214773654938 0 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134384 4 -10 0.0036156214773654938 -0.00055751932086423039 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134404 0 -32 0.0036156214773654938 0.0022300772834569216 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134424 5 -53 0.0036156214773654938 0 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134444 -1 2 0.0036156214773654938 0.0027875965461134911 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134464 -3 5 0.0036156214773654938 -0.00055751932086423039 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134484 5 2 0.0036156214773654938 -0.0016725577879697084 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134504 5 -5 0.0036156214773654938 0.0027875965461134911 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134524 3 2 0.0036156214773654938 0.0027875965461134911 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134544 3 4 0.0036156214773654938 0.0016725577879697084 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134564 2 0 0.0036156214773654938 0.0016725577879697084 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134584 10 4 0.0036156214773654938 0.0011150386417284608 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134604 14 3 0.0036156214773654938 0.0055751930922269821 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134624 55 -4 0.0036156214773654938 0.00780527014285326 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134644 2 5 0.0036156214773654938 0.030663561075925827 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134664 -5 -3 0.0036156214773654938 0.0011150386417284608 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134684 1 0 0.0036156214773654938 -0.0027875965461134911 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134704 -2 -6 0.0036156214773654938 0.00055751932086423039 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134724 -4 -4 0.0081908786669373512 -0.0011150386417284608 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
134744 -1 -6 0.0081908786669373512 -0.0022300772834569216 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
134764 -3 -20 0.0081908786669373512 -0.00055751932086423039 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
134784 -2 -8 0.0081908786669373512 -0.0016725577879697084 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
134804 -1 -9 0.0081908786669373512 -0.0011150386417284608 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
134824 -3 1 0.0081908786669373512 -0.00055751932086423039 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
134844 -2 2 0.0081908786669373512 -0.0016725577879697084 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
134864 -1 2 0.0081908786669373512 -0.0011150386417284608 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
134884 3 1 0.0081908786669373512 -0.00055751932086423039 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
